enrollid,stuid,lid,enroll_date,status,semester,enroll_type
300001,100001,200001,2026-03-02,완료,2026-1,정규
300002,100002,200001,2026-03-02,완료,2026-1,정규
300003,100003,200001,2026-03-02,완료,2026-1,정규
300004,100004,200001,2026-03-02,완료,2026-1,정규
300005,100005,200001,2026-03-02,완료,2026-1,정규
300006,100006,200001,2026-03-02,완료,2026-1,정규
300007,100007,200001,2026-03-02,완료,2026-1,정규
300008,100008,200001,2026-03-02,완료,2026-1,정규
300009,100009,200001,2026-03-02,완료,2026-1,정규
300010,100010,200001,2026-03-02,완료,2026-1,정규
300011,100011,200001,2026-03-02,완료,2026-1,정규
300012,100012,200001,2026-03-02,완료,2026-1,정규
300013,100013,200001,2026-03-02,완료,2026-1,정규
300014,100014,200001,2026-03-02,완료,2026-1,정규
300015,100015,200001,2026-03-02,완료,2026-1,정규
300016,100016,200001,2026-03-02,완료,2026-1,정규
300017,100017,200001,2026-03-02,완료,2026-1,정규
300018,100018,200001,2026-03-02,완료,2026-1,정규
300019,100019,200001,2026-03-02,완료,2026-1,정규
300020,100020,200001,2026-03-02,완료,2026-1,정규
300021,100021,200001,2026-03-02,완료,2026-1,정규
300022,100022,200001,2026-03-02,완료,2026-1,정규
300023,100023,200001,2026-03-02,완료,2026-1,정규
300024,100024,200001,2026-03-02,완료,2026-1,정규
300025,100025,200001,2026-03-02,완료,2026-1,정규
300026,100026,200001,2026-03-02,완료,2026-1,정규
300027,100027,200001,2026-03-02,완료,2026-1,정규
300028,100028,200001,2026-03-02,완료,2026-1,정규
300029,100029,200001,2026-03-02,완료,2026-1,정규
300030,100030,200001,2026-03-02,완료,2026-1,정규
300031,100031,200001,2026-03-02,완료,2026-1,정규
300032,100032,200001,2026-03-02,완료,2026-1,정규
300033,100033,200001,2026-03-02,완료,2026-1,정규
300034,100034,200001,2026-03-02,완료,2026-1,정규
300035,100035,200001,2026-03-02,완료,2026-1,정규
300036,100036,200001,2026-03-02,완료,2026-1,정규
300037,100037,200001,2026-03-02,완료,2026-1,정규
300038,100038,200001,2026-03-02,완료,2026-1,정규
300039,100039,200001,2026-03-02,완료,2026-1,정규
300040,100040,200001,2026-03-02,완료,2026-1,정규
300041,100041,200001,2026-03-02,완료,2026-1,정규
300042,100042,200001,2026-03-02,완료,2026-1,정규
300043,100043,200001,2026-03-02,완료,2026-1,정규
300044,100044,200001,2026-03-02,완료,2026-1,정규
300045,100045,200001,2026-03-02,완료,2026-1,정규
300046,100046,200001,2026-03-02,완료,2026-1,정규
300047,100047,200001,2026-03-02,완료,2026-1,정규
300048,100048,200001,2026-03-02,완료,2026-1,정규
300049,100049,200001,2026-03-02,완료,2026-1,정규
300050,100050,200001,2026-03-02,완료,2026-1,정규
