lid,lname,lnum,credit,semester,pid
200001,전남대공개학과데이터분석0001,JNU0001,2,2026-1,2
200002,학사정보시스템0002,JNU0002,3,2026-1,3
200003,수강신청데이터베이스0003,JNU0003,1,2026-1,4
200004,성적관리실습0004,JNU0004,2,2026-1,5
200005,교육데이터마이닝0005,JNU0005,3,2026-1,6
200006,대학행정정보처리0006,JNU0006,1,2026-1,7
200007,공개데이터활용0007,JNU0007,2,2026-1,8
200008,SQL최적화0008,JNU0008,3,2026-1,1
200009,전남대공개학과데이터분석0009,JNU0009,1,2026-1,2
200010,학사정보시스템0010,JNU0010,2,2026-1,3
200011,수강신청데이터베이스0011,JNU0011,3,2026-1,4
200012,성적관리실습0012,JNU0012,1,2026-1,5
200013,교육데이터마이닝0013,JNU0013,2,2026-1,6
200014,대학행정정보처리0014,JNU0014,3,2026-1,7
200015,공개데이터활용0015,JNU0015,1,2026-1,8
200016,SQL최적화0016,JNU0016,2,2026-1,1
200017,전남대공개학과데이터분석0017,JNU0017,3,2026-1,2
200018,학사정보시스템0018,JNU0018,1,2026-1,3
200019,수강신청데이터베이스0019,JNU0019,2,2026-1,4
200020,성적관리실습0020,JNU0020,3,2026-1,5
200021,교육데이터마이닝0021,JNU0021,1,2026-1,6
200022,대학행정정보처리0022,JNU0022,2,2026-1,7
200023,공개데이터활용0023,JNU0023,3,2026-1,8
200024,SQL최적화0024,JNU0024,1,2026-1,1
200025,전남대공개학과데이터분석0025,JNU0025,2,2026-1,2
200026,학사정보시스템0026,JNU0026,3,2026-1,3
200027,수강신청데이터베이스0027,JNU0027,1,2026-1,4
200028,성적관리실습0028,JNU0028,2,2026-1,5
200029,교육데이터마이닝0029,JNU0029,3,2026-1,6
200030,대학행정정보처리0030,JNU0030,1,2026-1,7
200031,공개데이터활용0031,JNU0031,2,2026-1,8
200032,SQL최적화0032,JNU0032,3,2026-1,1
200033,전남대공개학과데이터분석0033,JNU0033,1,2026-1,2
200034,학사정보시스템0034,JNU0034,2,2026-1,3
200035,수강신청데이터베이스0035,JNU0035,3,2026-1,4
200036,성적관리실습0036,JNU0036,1,2026-1,5
200037,교육데이터마이닝0037,JNU0037,2,2026-1,6
200038,대학행정정보처리0038,JNU0038,3,2026-1,7
200039,공개데이터활용0039,JNU0039,1,2026-1,8
200040,SQL최적화0040,JNU0040,2,2026-1,1
200041,전남대공개학과데이터분석0041,JNU0041,3,2026-1,2
200042,학사정보시스템0042,JNU0042,1,2026-1,3
200043,수강신청데이터베이스0043,JNU0043,2,2026-1,4
200044,성적관리실습0044,JNU0044,3,2026-1,5
200045,교육데이터마이닝0045,JNU0045,1,2026-1,6
200046,대학행정정보처리0046,JNU0046,2,2026-1,7
200047,공개데이터활용0047,JNU0047,3,2026-1,8
200048,SQL최적화0048,JNU0048,1,2026-1,1
200049,전남대공개학과데이터분석0049,JNU0049,2,2026-1,2
200050,학사정보시스템0050,JNU0050,3,2026-1,3
200051,수강신청데이터베이스0051,JNU0051,1,2026-1,4
200052,성적관리실습0052,JNU0052,2,2026-1,5
200053,교육데이터마이닝0053,JNU0053,3,2026-1,6
200054,대학행정정보처리0054,JNU0054,1,2026-1,7
200055,공개데이터활용0055,JNU0055,2,2026-1,8
200056,SQL최적화0056,JNU0056,3,2026-1,1
200057,전남대공개학과데이터분석0057,JNU0057,1,2026-1,2
200058,학사정보시스템0058,JNU0058,2,2026-1,3
200059,수강신청데이터베이스0059,JNU0059,3,2026-1,4
200060,성적관리실습0060,JNU0060,1,2026-1,5
200061,교육데이터마이닝0061,JNU0061,2,2026-1,6
200062,대학행정정보처리0062,JNU0062,3,2026-1,7
200063,공개데이터활용0063,JNU0063,1,2026-1,8
200064,SQL최적화0064,JNU0064,2,2026-1,1
200065,전남대공개학과데이터분석0065,JNU0065,3,2026-1,2
200066,학사정보시스템0066,JNU0066,1,2026-1,3
200067,수강신청데이터베이스0067,JNU0067,2,2026-1,4
200068,성적관리실습0068,JNU0068,3,2026-1,5
200069,교육데이터마이닝0069,JNU0069,1,2026-1,6
200070,대학행정정보처리0070,JNU0070,2,2026-1,7
200071,공개데이터활용0071,JNU0071,3,2026-1,8
200072,SQL최적화0072,JNU0072,1,2026-1,1
200073,전남대공개학과데이터분석0073,JNU0073,2,2026-1,2
200074,학사정보시스템0074,JNU0074,3,2026-1,3
200075,수강신청데이터베이스0075,JNU0075,1,2026-1,4
200076,성적관리실습0076,JNU0076,2,2026-1,5
200077,교육데이터마이닝0077,JNU0077,3,2026-1,6
200078,대학행정정보처리0078,JNU0078,1,2026-1,7
200079,공개데이터활용0079,JNU0079,2,2026-1,8
200080,SQL최적화0080,JNU0080,3,2026-1,1
200081,전남대공개학과데이터분석0081,JNU0081,1,2026-1,2
200082,학사정보시스템0082,JNU0082,2,2026-1,3
200083,수강신청데이터베이스0083,JNU0083,3,2026-1,4
200084,성적관리실습0084,JNU0084,1,2026-1,5
200085,교육데이터마이닝0085,JNU0085,2,2026-1,6
200086,대학행정정보처리0086,JNU0086,3,2026-1,7
200087,공개데이터활용0087,JNU0087,1,2026-1,8
200088,SQL최적화0088,JNU0088,2,2026-1,1
200089,전남대공개학과데이터분석0089,JNU0089,3,2026-1,2
200090,학사정보시스템0090,JNU0090,1,2026-1,3
200091,수강신청데이터베이스0091,JNU0091,2,2026-1,4
200092,성적관리실습0092,JNU0092,3,2026-1,5
200093,교육데이터마이닝0093,JNU0093,1,2026-1,6
200094,대학행정정보처리0094,JNU0094,2,2026-1,7
200095,공개데이터활용0095,JNU0095,3,2026-1,8
200096,SQL최적화0096,JNU0096,1,2026-1,1
200097,전남대공개학과데이터분석0097,JNU0097,2,2026-1,2
200098,학사정보시스템0098,JNU0098,3,2026-1,3
200099,수강신청데이터베이스0099,JNU0099,1,2026-1,4
200100,성적관리실습0100,JNU0100,2,2026-1,5
200101,교육데이터마이닝0101,JNU0101,3,2026-1,6
200102,대학행정정보처리0102,JNU0102,1,2026-1,7
200103,공개데이터활용0103,JNU0103,2,2026-1,8
200104,SQL최적화0104,JNU0104,3,2026-1,1
200105,전남대공개학과데이터분석0105,JNU0105,1,2026-1,2
200106,학사정보시스템0106,JNU0106,2,2026-1,3
200107,수강신청데이터베이스0107,JNU0107,3,2026-1,4
200108,성적관리실습0108,JNU0108,1,2026-1,5
200109,교육데이터마이닝0109,JNU0109,2,2026-1,6
200110,대학행정정보처리0110,JNU0110,3,2026-1,7
200111,공개데이터활용0111,JNU0111,1,2026-1,8
200112,SQL최적화0112,JNU0112,2,2026-1,1
200113,전남대공개학과데이터분석0113,JNU0113,3,2026-1,2
200114,학사정보시스템0114,JNU0114,1,2026-1,3
200115,수강신청데이터베이스0115,JNU0115,2,2026-1,4
200116,성적관리실습0116,JNU0116,3,2026-1,5
200117,교육데이터마이닝0117,JNU0117,1,2026-1,6
200118,대학행정정보처리0118,JNU0118,2,2026-1,7
200119,공개데이터활용0119,JNU0119,3,2026-1,8
200120,SQL최적화0120,JNU0120,1,2026-1,1
200121,전남대공개학과데이터분석0121,JNU0121,2,2026-1,2
200122,학사정보시스템0122,JNU0122,3,2026-1,3
200123,수강신청데이터베이스0123,JNU0123,1,2026-1,4
200124,성적관리실습0124,JNU0124,2,2026-1,5
200125,교육데이터마이닝0125,JNU0125,3,2026-1,6
200126,대학행정정보처리0126,JNU0126,1,2026-1,7
200127,공개데이터활용0127,JNU0127,2,2026-1,8
200128,SQL최적화0128,JNU0128,3,2026-1,1
200129,전남대공개학과데이터분석0129,JNU0129,1,2026-1,2
200130,학사정보시스템0130,JNU0130,2,2026-1,3
200131,수강신청데이터베이스0131,JNU0131,3,2026-1,4
200132,성적관리실습0132,JNU0132,1,2026-1,5
200133,교육데이터마이닝0133,JNU0133,2,2026-1,6
200134,대학행정정보처리0134,JNU0134,3,2026-1,7
200135,공개데이터활용0135,JNU0135,1,2026-1,8
200136,SQL최적화0136,JNU0136,2,2026-1,1
200137,전남대공개학과데이터분석0137,JNU0137,3,2026-1,2
200138,학사정보시스템0138,JNU0138,1,2026-1,3
200139,수강신청데이터베이스0139,JNU0139,2,2026-1,4
200140,성적관리실습0140,JNU0140,3,2026-1,5
200141,교육데이터마이닝0141,JNU0141,1,2026-1,6
200142,대학행정정보처리0142,JNU0142,2,2026-1,7
